,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
546,Adds BUILDIN(equipidx); BUILDIN(equip) now returns 0 or 1.,open,2019-01-22T14:00:28Z,2019-09-12T10:59:32Z,,CONTRIBUTOR,"### Pull Request Prelude

<!-- Thank you for working on improving Hercules! -->
<!-- Please complete these steps and check the following boxes by putting an `x`
     inside the [brackets] before filing your Pull Request. -->

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed
1. Adds new buildin **equipidx()**.
i.e. `equipidx(<index>{, <item id>})`

The reason for this change is it allows you the option to choose the specific inventory index to equip. Of course, you need to know the inventory index.

Currently I am using this in a mass refiner script. Since you need to equip an item to refine it, I was having trouble due to the equip() command always equipping the lowest index (I believe that's what it was doing).

Here is a sample in which all the different versions of 'Knife' are cycled through and equipped every 1 second.
```
.@id = Knife;
getinventorylist();
for (.@i = 0; .@i < @inventorylist_count; .@i++) {
	if (@inventorylist_id[.@i] == .@id) {
		.@Index[.@j] = .@i;
		.@j++;
		.@count++;
	}
}

for (.@i = 0; .@i < .@count; .@i++) {
	equipidx(.@Index[.@i], .@id);
	sleep2(1000);
}
end;
```

2. equip(<item id>) now returns 0 or 1 depending on whether the item successfully equipped.

**Issues addressed:** <!-- Write here the issue number, if any. -->
N/A

<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","```
/*=================================================
 * Checks if the player can equip the item at index n in inventory.
 * Returns 0 (no) or 1 (yes).
 *------------------------------------------------*/
static int pc_isequip(struct map_session_data *sd, int n)
```
try introduce a new script command `*canequip` to check if that item can be equip ?",7551429
547,Adds support for <account id> param for getcharid(). Deprecates charid2rid.,open,2019-01-13T04:16:32Z,2020-01-11T08:04:26Z,,CONTRIBUTOR,"### Pull Request Prelude

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed
- Adds support for **account id** to `getcharid()`.
I.e.
`getcharid(<type>{, ""<character name>""})`
`getcharid(<type>{, <account id>})`

- Deprecates `charid2rid()` in favour of `getcharid(CHAR_ID_ACCOUNT, <char id>)`.

**Issues addressed:** <!-- Write here the issue number, if any. -->
N/A

<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","@MishimaHaruna 
> What does everyone else think?

I do agree with you. In my opinion this special case unnecessary. If someone is able to pass a character ID to retrieve the corresponding account ID, he should also be able to pass the character's name instead.",7551429
548,HerculesWS Dockerized,open,2019-01-04T02:15:21Z,2019-12-29T19:07:28Z,,NONE,"**Is your feature request related to a problem? Please describe.**
I'm always frustrated when I'm setting up to develop and then for production.

**Describe the solution you'd like**
create an environment with docker that contains everything you need: dockerfile, docker-compose.dev docker-compose.productiont. and that is ready to swarm or k8s

",,7551429
549,Added configuration to fullprotect skill,open,2018-11-27T11:37:28Z,2018-12-14T00:23:35Z,,CONTRIBUTOR,"- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed
Today, the equip protect status (SC_PROTECTWEAPON, SC_PROTECTHELM, SC_PROTECTARMOR, and SC_PROTECTSHIELD) only apply if there's equip on a respective slot.

Old days, the protect status, apply without the test. So, protect shield work with no shield equip. This PR creates a config that allows going back old days =]

**Issues addressed:**
There is no issues


<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","instead of having `1` or `0` to set the configuration, why not create it as a bitmask value that allow different type of combination depend on user need? It would allow much better customization that user may need?
Ex:
```
1 - Enable for Strip Helm Skill
2 - Enable for Strip Armer Skill
4 - Enable for Strip Shoes Skill
8 - Enable for Strip Weapon Skill
16 - Enable for Strip Accessory Skill
32 - Enable for FCP Skill
etc...
``` ",7551429
550,Implementation of bargain sale,open,2018-11-23T14:03:59Z,2018-12-31T09:56:09Z,,NONE,"**Is your feature request related to a problem? Please describe.**
No
**Describe the solution you'd like**

This feature does have a certain time in the ragnarök. It allows placing items in purchase promotion and with limited quantity.

This would be interesting to be able to add promotions on special date sales

![2qduatc](https://user-images.githubusercontent.com/38480564/48947307-d44e7d00-ef17-11e8-853f-faa6d0930970.png)

",,7551429
551,Error creating instance for character,open,2018-11-18T00:08:01Z,2019-07-31T23:58:44Z,,NONE,"**Describe the bug**

When creating an instance using **CHAR_ID_CHAR** and character relogin the instance window does not appear, but the instance is already created, if you make use of **CHAR_ID_PARTY** when relogin character appears the window normally.

This bug causes a big problem because it is possible for a player to generate multiple instances because when the character does relogin it is not possible to enter the instance, it needs to generate another, and the one that was previously opened continues

**To Reproduce**
Earth Tower Test:
1. change `.@party_id = getcharid(CHAR_ID_PARTY);`
2. to `.@party_id = getcharid(CHAR_ID_CHAR);`
3. change `.@instance = instance_create(.@md_name$, .@party_id);`
4. to `.@instance = instance_create(.@md_name$, .@party_id, IOT_CHAR);`
5. Now run the emulator and create the instance and relogin character

**Expected behavior**

The correct one would be to show the instance window with the remaining time.

![test](https://user-images.githubusercontent.com/39016868/48667031-730c5100-eab4-11e8-9032-86d0b99937b6.png)


**System specs (please complete the following information):**
 - OS: [windows 8]
 - Hercules Version [v2018.10.21]
 - Mode: [pre-renewal]
 - Packet version: [20181017]
 - Client type: [main]

**Plugins used or source modifications**
None

**Additional context**
None
","@marcosbucarte Change `.@party_id = getcharid(CHAR_ID_CHAR);` to `.@party_id = getcharid(CHAR_ID_ACCOUNT);`
",7551429
552,"Reflex, SAFETYWALL, letter bonus vs CARTTERMINATION",open,2018-11-16T13:15:43Z,2018-11-16T13:16:54Z,,NONE,"I've been getting a lot of complaints about these two issues from both emulators and administrators so I can do my services.

1 - Wall holding Wizz, is blocking damage, more reflecting if the player has a reflex card like OL.

2- Shock of the cart suffering in the same way for the bonus of reflecting cards or equipment.

Reference the following topics.

http://herc.ws/board/tracker/issue-7792-safety-wall-reflect-bug-body-relocation-error/

http://herc.ws/board/tracker/issue-6938-autoguard-safety-wall-with-damage-return/?gopid=15952#entry15952

http://herc.ws/board/tracker/issue-5328-bonus-bshortweapondamagereturn-vs-cart-termination/?gopid=7043#entry7043


I'll leave the solution for you that suits you.


Cart Termination:

> Search for:
> ----------------------------------------------------------------
> if (flag & BF_SHORT) {//Bounces back part of the damage.
> ---------------------------------------------------------------
> 
> 
> add below:
> ---------------------------------------------------------------
> 		if (!status_reflect && skill_id == WS_CARTTERMINATION && !status_bl_has_mode(src, MD_STATUS_IMMUNE)) // ignorando todo o refletir (psyz)
> 		{
> 			rdamage = 0;
> 			return 0;
> 		}
> ------------------------------------------------------------------
> 
> change:
> -----------------------------------------------
> if (!status_reflect && sd && sd->bonus.short_weapon_damage_return) {
> ------------------------------------------------
> 
> per:
> --------------------------------------------------------------------------
> else if (!status_reflect && sd && sd->bonus.short_weapon_damage_return) {
> --------------------------------------------------------------------------


SAFETYWALL:

> search for: (battle_calc_return_damage)
> -----------------------------------------------------
> 	if (ssc && ssc->data[SC_INSPIRATION]) {
> 		rdamage += damage / 100;
> #ifdef RENEWAL
> 		rdamage = cap_value(rdamage, 1, max_damage);
> #else
> 		rdamage = i64max(rdamage, 1);
> #endif
> 	}
> ---------------------------------------------------------
> 
> add below:
> 
> -------------------------------------------------------------
> 		if (sc && sc->data[SC_SAFETYWALL] ||  sc->data[SC_BASILICA] && !status_bl_has_mode(src, MD_STATUS_IMMUNE))
> 		{
> 			rdamage = 0;
> 			return false;
> 		}",,7551429
553,Slave clone can't hit an evil clone.,open,2018-11-08T22:34:19Z,2020-01-25T00:53:46Z,,MEMBER,"**Describe the bug**
Clone that made using `@slaveclone` doesn't capable to attack clone made by `@evilclone`.

**To Reproduce**
Steps to reproduce the behavior:
1. Summon a clone using `@clone Emistry`
2. Summon an evil clone using `@evilclone Emistry`
3. Summon a slave clone using `@slaveclone Emistry`
4. let them fight each other, observe the `@clone` and `slaveclone` attack the `@evilclone`.

**Expected behavior**
Slave clone shall not miss when attacking the `@evilclone`.

**Screenshots**
Preview : 
> Char Information:  
> Level 175 - All stats 99
> No armor equipped, only a Spear

`@clone` - the clone located at top left, attacking `@evilclone` without fail.
`@evilclone` - the clone located at top right, attacking `@clone` without fail.
`@slaveclone` - the clone located at bottom, attacking `@evilclone` **but failed**.
![Image of Yaktocat](https://i.imgur.com/CHWnP2A.gif)

**System specs (please complete the following information):**
 - OS: [Windows 10]
 - Hercules Version https://github.com/HerculesWS/Hercules/commit/1f7d4f00a52a6b32981ef54fb4a5514ece6f75df
 - Mode: [renewal]
 - Packet version: [e.g. 20150513]

**Plugins used or source modifications**
none

**Additional context**
none
","@Emistry
I did some more testing and you're right. `dmg_taken_rate` isn't related to this issue explicitly.
Adding `db->dmg_taken_rate = 100;` to `mob_clone_spawn()` only fixes the invulnerability of the other clones. The evil clone is still invulnerable to the attacks of the slave clone.

I investigated the damage calculation a bit deeper and it seems, that this is not a bug. The evil clone's defense simply is too high for the slave clone to be able to hit.
A good way to show the slave clone's low hit rate is to make it fight an ordinary clone (`@clone`).
The slave clone will miss most of the time, but rarely is able to land a hit...",7551429
554,Equipping Arrow,open,2018-10-24T19:15:21Z,2019-11-21T07:00:20Z,,NONE,"On official Renewal, you can't put arrow on if your Bow/Musical/Whip is not equipped. 

Official screenshot:
![1](https://user-images.githubusercontent.com/4656578/47455320-29597f00-d804-11e8-95ee-aa28deba348c.jpg)

",Rathena fixes: https://github.com/rathena/rathena/commit/d3d8f3c5a7459ef1f76ae379e9d6013dc489bc1a,7551429
555,mesf npc/other,open,2018-10-23T21:30:06Z,2018-12-19T05:06:14Z,,CONTRIBUTOR,"<!-- Before you continue, please change ""base: stable"" to ""base: master"" and
     enable the setting ""[√] Allow edits from maintainers."" when creating your
     pull request if you have not already enabled it. -->

<!-- Note: Lines with this <!-- syntax are comments and will not be visible in
     your pull request. You can safely ignore or remove them. -->

### Pull Request Prelude

<!-- Thank you for working on improving Hercules! -->
<!-- Please complete these steps and check the following boxes by putting an `x`
     inside the [brackets] before filing your Pull Request. -->

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed
mes to mesf npc/other
<!-- Describe the changes that this pull request makes. -->

**Issues addressed:** <!-- Write here the issue number, if any. -->
https://github.com/HerculesWS/Hercules/issues/2233

<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","

<!-- Reviewable:start -->
This change is [<img src=""https://reviewable.io/review_button.png"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/herculesws/hercules/2306)
<!-- Reviewable:end -->
",7551429
556,Images,open,2018-10-23T17:02:42Z,2019-06-08T09:17:04Z,,NONE,"Image corporate.

<!-- Before you continue, please change ""base: stable"" to ""base: master"" and
     enable the setting ""[√] Allow edits from maintainers."" when creating your
     pull request if you have not already enabled it. -->

<!-- Note: Lines with this <!-- syntax are comments and will not be visible in
     your pull request. You can safely ignore or remove them. -->

### Pull Request Prelude

<!-- Thank you for working on improving Hercules! -->
<!-- Please complete these steps and check the following boxes by putting an `x`
     inside the [brackets] before filing your Pull Request. -->

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed

<!-- Describe the changes that this pull request makes. -->

**Issues addressed:** <!-- Write here the issue number, if any. -->


<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","Instead of putting the logo under the header (which looks weird), we could put it directly on the header:
```markdown
# ![Hercules Logo](https://user-images.githubusercontent.com/3507758/48214059-222a8900-e34d-11e8-871f-9036112c8aa4.png) Hercules
```

Which renders to:

# ![Hercules Logo](https://user-images.githubusercontent.com/3507758/48214059-222a8900-e34d-11e8-871f-9036112c8aa4.png) Hercules",7551429
